volume,ticks,status,open,low,high,cost,close,timestamp,Instrument
0.0,1621987200.0,ok,0.2895,0.2895,0.2895,0.0,0.2895,2021-05-25 19:00:00,BTC-25JUN21-28000-C
86.0,1622073600.0,ok,0.1715,0.1015,0.1715,9.2069,0.1015,2021-05-26 19:00:00,BTC-25JUN21-28000-C
0.0,1622160000.0,ok,0.1015,0.1015,0.1015,0.0,0.1015,2021-05-27 19:00:00,BTC-25JUN21-28000-C
0.0,1622246400.0,ok,0.1015,0.1015,0.1015,0.0,0.1015,2021-05-28 19:00:00,BTC-25JUN21-28000-C
0.0,1622332800.0,ok,0.1015,0.1015,0.1015,0.0,0.1015,2021-05-29 19:00:00,BTC-25JUN21-28000-C
0.0,1622419200.0,ok,0.1015,0.1015,0.1015,0.0,0.1015,2021-05-30 19:00:00,BTC-25JUN21-28000-C
10.0,1622505600.0,ok,0.467,0.467,0.467,4.67,0.467,2021-05-31 19:00:00,BTC-25JUN21-28000-C
0.0,1622592000.0,ok,0.467,0.467,0.467,0.0,0.467,2021-06-01 19:00:00,BTC-25JUN21-28000-C
0.0,1622678400.0,ok,0.467,0.467,0.467,0.0,0.467,2021-06-02 19:00:00,BTC-25JUN21-28000-C
0.0,1622764800.0,ok,0.467,0.467,0.467,0.0,0.467,2021-06-03 19:00:00,BTC-25JUN21-28000-C
20.0,1622851200.0,ok,0.0365,0.0365,0.0455,0.82,0.0455,2021-06-04 19:00:00,BTC-25JUN21-28000-C
0.0,1622937600.0,ok,0.0455,0.0455,0.0455,0.0,0.0455,2021-06-05 19:00:00,BTC-25JUN21-28000-C
0.0,1623024000.0,ok,0.0455,0.0455,0.0455,0.0,0.0455,2021-06-06 19:00:00,BTC-25JUN21-28000-C
20.0,1623110400.0,ok,0.357,0.1845,0.357,5.4465,0.192,2021-06-07 19:00:00,BTC-25JUN21-28000-C
8.0,1623196800.0,ok,0.314,0.314,0.314,2.512,0.314,2021-06-08 19:00:00,BTC-25JUN21-28000-C
0.0,1623283200.0,ok,0.314,0.314,0.314,0.0,0.314,2021-06-09 19:00:00,BTC-25JUN21-28000-C
11.0,1623369600.0,ok,0.258,0.202,0.258,2.68865,0.202,2021-06-10 19:00:00,BTC-25JUN21-28000-C
0.1,1623456000.0,ok,0.225,0.225,0.225,0.0225,0.225,2021-06-11 19:00:00,BTC-25JUN21-28000-C
0.0,1623542400.0,ok,0.225,0.225,0.225,0.0,0.225,2021-06-12 19:00:00,BTC-25JUN21-28000-C
0.0,1623628800.0,ok,0.225,0.225,0.225,0.0,0.225,2021-06-13 19:00:00,BTC-25JUN21-28000-C
0.0,1623715200.0,ok,0.225,0.225,0.225,0.0,0.225,2021-06-14 19:00:00,BTC-25JUN21-28000-C
0.0,1623801600.0,ok,0.225,0.225,0.225,0.0,0.225,2021-06-15 19:00:00,BTC-25JUN21-28000-C
2.0,1623888000.0,ok,0.2835,0.2835,0.2835,0.567,0.2835,2021-06-16 19:00:00,BTC-25JUN21-28000-C
0.3,1623283200.0,ok,0.008,0.008,0.008,0.0024,0.008,2021-06-09 19:00:00,BTC-12JUN21-40000-C
0.1,1623369600.0,ok,0.0085,0.0085,0.0085,0.00085,0.0085,2021-06-10 19:00:00,BTC-12JUN21-40000-C
0.0,1623456000.0,ok,0.0085,0.0085,0.0085,0.0,0.0085,2021-06-11 19:00:00,BTC-12JUN21-40000-C
0.0,1623542400.0,ok,0.0085,0.0085,0.0085,0.0,0.0085,2021-06-12 19:00:00,BTC-12JUN21-40000-C
0.0,1623628800.0,ok,0.0085,0.0085,0.0085,0.0,0.0085,2021-06-13 19:00:00,BTC-12JUN21-40000-C
0.0,1623715200.0,ok,0.0085,0.0085,0.0085,0.0,0.0085,2021-06-14 19:00:00,BTC-12JUN21-40000-C
0.0,1623801600.0,ok,0.0085,0.0085,0.0085,0.0,0.0085,2021-06-15 19:00:00,BTC-12JUN21-40000-C
0.0,1623888000.0,ok,0.0085,0.0085,0.0085,0.0,0.0085,2021-06-16 19:00:00,BTC-12JUN21-40000-C
2.1,1609977600.0,ok,0.329,0.3265,0.329,0.69065,0.3265,2021-01-06 18:00:00,BTC-25JUN21-44000-C
0.0,1610064000.0,ok,0.3265,0.3265,0.3265,0.0,0.3265,2021-01-07 18:00:00,BTC-25JUN21-44000-C
0.0,1610150400.0,ok,0.3265,0.3265,0.3265,0.0,0.3265,2021-01-08 18:00:00,BTC-25JUN21-44000-C
0.0,1610236800.0,ok,0.3265,0.3265,0.3265,0.0,0.3265,2021-01-09 18:00:00,BTC-25JUN21-44000-C
0.0,1610323200.0,ok,0.3265,0.3265,0.3265,0.0,0.3265,2021-01-10 18:00:00,BTC-25JUN21-44000-C
2.5,1610409600.0,ok,0.2315,0.19,0.2315,0.55555,0.2155,2021-01-11 18:00:00,BTC-25JUN21-44000-C
0.0,1610496000.0,ok,0.2155,0.2155,0.2155,0.0,0.2155,2021-01-12 18:00:00,BTC-25JUN21-44000-C
0.0,1610582400.0,ok,0.2155,0.2155,0.2155,0.0,0.2155,2021-01-13 18:00:00,BTC-25JUN21-44000-C
0.0,1610668800.0,ok,0.2155,0.2155,0.2155,0.0,0.2155,2021-01-14 18:00:00,BTC-25JUN21-44000-C
0.0,1610755200.0,ok,0.2155,0.2155,0.2155,0.0,0.2155,2021-01-15 18:00:00,BTC-25JUN21-44000-C
0.0,1610841600.0,ok,0.2155,0.2155,0.2155,0.0,0.2155,2021-01-16 18:00:00,BTC-25JUN21-44000-C
0.0,1610928000.0,ok,0.2155,0.2155,0.2155,0.0,0.2155,2021-01-17 18:00:00,BTC-25JUN21-44000-C
0.0,1611014400.0,ok,0.2155,0.2155,0.2155,0.0,0.2155,2021-01-18 18:00:00,BTC-25JUN21-44000-C
1.4,1611100800.0,ok,0.1315,0.131,0.148,0.1857,0.148,2021-01-19 18:00:00,BTC-25JUN21-44000-C
0.2,1611187200.0,ok,0.1145,0.1145,0.128,0.02425,0.128,2021-01-20 18:00:00,BTC-25JUN21-44000-C
0.1,1611273600.0,ok,0.1385,0.1385,0.1385,0.01385,0.1385,2021-01-21 18:00:00,BTC-25JUN21-44000-C
2.0,1611360000.0,ok,0.1515,0.1515,0.1515,0.303,0.1515,2021-01-22 18:00:00,BTC-25JUN21-44000-C
1.6,1611446400.0,ok,0.158,0.158,0.158,0.2528,0.158,2021-01-23 18:00:00,BTC-25JUN21-44000-C
0.0,1611532800.0,ok,0.158,0.158,0.158,0.0,0.158,2021-01-24 18:00:00,BTC-25JUN21-44000-C
0.4,1611619200.0,ok,0.17,0.167,0.17,0.0675,0.168,2021-01-25 18:00:00,BTC-25JUN21-44000-C
1.3,1611705600.0,ok,0.161,0.1195,0.161,0.1936,0.142,2021-01-26 18:00:00,BTC-25JUN21-44000-C
5.4,1611792000.0,ok,0.1235,0.1115,0.1345,0.681,0.1275,2021-01-27 18:00:00,BTC-25JUN21-44000-C
0.1,1611878400.0,ok,0.1875,0.1875,0.1875,0.01875,0.1875,2021-01-28 18:00:00,BTC-25JUN21-44000-C
0.0,1611964800.0,ok,0.1875,0.1875,0.1875,0.0,0.1875,2021-01-29 18:00:00,BTC-25JUN21-44000-C
0.0,1612051200.0,ok,0.1875,0.1875,0.1875,0.0,0.1875,2021-01-30 18:00:00,BTC-25JUN21-44000-C
0.0,1612137600.0,ok,0.1875,0.1875,0.1875,0.0,0.1875,2021-01-31 18:00:00,BTC-25JUN21-44000-C
0.2,1612224000.0,ok,0.1405,0.1395,0.1405,0.028,0.1395,2021-02-01 18:00:00,BTC-25JUN21-44000-C
1.3,1612310400.0,ok,0.1645,0.1645,0.169,0.21795,0.1685,2021-02-02 18:00:00,BTC-25JUN21-44000-C
21.8,1612396800.0,ok,0.611,0.161,0.611,5.03405,0.201,2021-02-03 18:00:00,BTC-25JUN21-44000-C
2.0,1612483200.0,ok,0.1785,0.1665,0.2005,0.3659,0.1735,2021-02-04 18:00:00,BTC-25JUN21-44000-C
0.0,1612569600.0,ok,0.1735,0.1735,0.1735,0.0,0.1735,2021-02-05 18:00:00,BTC-25JUN21-44000-C
0.1,1612656000.0,ok,0.1715,0.1715,0.1715,0.01715,0.1715,2021-02-06 18:00:00,BTC-25JUN21-44000-C
7.4,1612742400.0,ok,0.1855,0.1855,0.609,4.4132,0.609,2021-02-07 18:00:00,BTC-25JUN21-44000-C
0.0,1612828800.0,ok,0.609,0.609,0.609,0.0,0.609,2021-02-08 18:00:00,BTC-25JUN21-44000-C
