volume,ticks,status,open,low,high,cost,close,timestamp,Instrument,Type
3.5,1612483200,ok,0.2575,0.199,0.2605,0.8026,0.235,2/4/2021 18:00,BTC-25JUN21-44000-P,P
0,1612569600,ok,0.235,0.235,0.235,0,0.235,2/5/2021 18:00,BTC-25JUN21-44000-P,P
0.2,1612656000,ok,0.247,0.082,0.247,0.0329,0.082,2/6/2021 18:00,BTC-25JUN21-44000-P,P
0.2,1612742400,ok,0.2165,0.2045,0.2165,0.0421,0.2045,2/7/2021 18:00,BTC-25JUN21-44000-P,P
0,1612828800,ok,0.2045,0.2045,0.2045,0,0.2045,2/8/2021 18:00,BTC-25JUN21-44000-P,P
0,1612915200,ok,0.2045,0.2045,0.2045,0,0.2045,2/9/2021 18:00,BTC-25JUN21-44000-P,P
0,1613001600,ok,0.2045,0.2045,0.2045,0,0.2045,2/10/2021 18:00,BTC-25JUN21-44000-P,P
0,1613088000,ok,0.2045,0.2045,0.2045,0,0.2045,2/11/2021 18:00,BTC-25JUN21-44000-P,P
0,1613174400,ok,0.2045,0.2045,0.2045,0,0.2045,2/12/2021 18:00,BTC-25JUN21-44000-P,P
0,1613260800,ok,0.2045,0.2045,0.2045,0,0.2045,2/13/2021 18:00,BTC-25JUN21-44000-P,P
0,1613347200,ok,0.2045,0.2045,0.2045,0,0.2045,2/14/2021 18:00,BTC-25JUN21-44000-P,P
0,1613433600,ok,0.2045,0.2045,0.2045,0,0.2045,2/15/2021 18:00,BTC-25JUN21-44000-P,P
0,1613520000,ok,0.2045,0.2045,0.2045,0,0.2045,2/16/2021 18:00,BTC-25JUN21-44000-P,P
100.4,1613606400,ok,0.5865,0.095,0.5865,58.688,0.095,2/17/2021 18:00,BTC-25JUN21-44000-P,P
0,1613692800,ok,0.095,0.095,0.095,0,0.095,2/18/2021 18:00,BTC-25JUN21-44000-P,P
0,1613779200,ok,0.095,0.095,0.095,0,0.095,2/19/2021 18:00,BTC-25JUN21-44000-P,P
0,1613865600,ok,0.095,0.095,0.095,0,0.095,2/20/2021 18:00,BTC-25JUN21-44000-P,P
0,1613952000,ok,0.095,0.095,0.095,0,0.095,2/21/2021 18:00,BTC-25JUN21-44000-P,P
0,1614038400,ok,0.095,0.095,0.095,0,0.095,2/22/2021 18:00,BTC-25JUN21-44000-P,P
0,1614124800,ok,0.095,0.095,0.095,0,0.095,2/23/2021 18:00,BTC-25JUN21-44000-P,P
0,1614211200,ok,0.095,0.095,0.095,0,0.095,2/24/2021 18:00,BTC-25JUN21-44000-P,P
0,1614297600,ok,0.095,0.095,0.095,0,0.095,2/25/2021 18:00,BTC-25JUN21-44000-P,P
0,1614384000,ok,0.095,0.095,0.095,0,0.095,2/26/2021 18:00,BTC-25JUN21-44000-P,P
0.2,1614470400,ok,0.7,0.1,0.7,0.08,0.1,2/27/2021 18:00,BTC-25JUN21-44000-P,P
0.1,1614556800,ok,0.59,0.59,0.59,0.059,0.59,2/28/2021 18:00,BTC-25JUN21-44000-P,P
0.4,1614643200,ok,0.169,0.169,0.169,0.0676,0.169,3/1/2021 18:00,BTC-25JUN21-44000-P,P
3.1,1614729600,ok,0.2405,0.1385,0.243,0.7197,0.1385,3/2/2021 18:00,BTC-25JUN21-44000-P,P
3.4,1614816000,ok,0.1,0.1,0.1,0.34,0.1,3/3/2021 18:00,BTC-25JUN21-44000-P,P
0.8,1614902400,ok,0.193,0.1655,0.193,0.1434,0.1655,3/4/2021 18:00,BTC-25JUN21-44000-P,P
0,1614988800,ok,0.1655,0.1655,0.1655,0,0.1655,3/5/2021 18:00,BTC-25JUN21-44000-P,P
0,1615075200,ok,0.1655,0.1655,0.1655,0,0.1655,3/6/2021 18:00,BTC-25JUN21-44000-P,P
0,1615161600,ok,0.1655,0.1655,0.1655,0,0.1655,3/7/2021 18:00,BTC-25JUN21-44000-P,P
0,1615248000,ok,0.1655,0.1655,0.1655,0,0.1655,3/8/2021 18:00,BTC-25JUN21-44000-P,P
1.6,1615334400,ok,0.166,0.166,0.166,0.2656,0.166,3/9/2021 18:00,BTC-25JUN21-44000-P,P
3.2,1615420800,ok,0.076,0.076,0.105,0.3154,0.105,3/10/2021 18:00,BTC-25JUN21-44000-P,P
0,1615507200,ok,0.105,0.105,0.105,0,0.105,3/11/2021 18:00,BTC-25JUN21-44000-P,P
0,1615593600,ok,0.105,0.105,0.105,0,0.105,3/12/2021 18:00,BTC-25JUN21-44000-P,P
0,1615680000,ok,0.105,0.105,0.105,0,0.105,3/13/2021 18:00,BTC-25JUN21-44000-P,P
8,1615766400,ok,0.084,0.084,0.086,0.68,0.086,3/14/2021 19:00,BTC-25JUN21-44000-P,P
0.2,1615852800,ok,0.0655,0.0655,0.0655,0.0131,0.0655,3/15/2021 19:00,BTC-25JUN21-44000-P,P
13.6,1615939200,ok,0.0865,0.0815,0.0865,1.1702,0.0815,3/16/2021 19:00,BTC-25JUN21-44000-P,P
12.8,1616025600,ok,0.0655,0.0635,0.0765,0.8564,0.0735,3/17/2021 19:00,BTC-25JUN21-44000-P,P
2.2,1616112000,ok,0.0525,0.0525,0.0665,0.1427,0.0655,3/18/2021 19:00,BTC-25JUN21-44000-P,P
0,1616198400,ok,0.0655,0.0655,0.0655,0,0.0655,3/19/2021 19:00,BTC-25JUN21-44000-P,P
0,1616284800,ok,0.0655,0.0655,0.0655,0,0.0655,3/20/2021 19:00,BTC-25JUN21-44000-P,P
6.6,1616371200,ok,0.065,0.052,0.0655,0.3586,0.052,3/21/2021 19:00,BTC-25JUN21-44000-P,P
0,1616457600,ok,0.052,0.052,0.052,0,0.052,3/22/2021 19:00,BTC-25JUN21-44000-P,P
0,1616544000,ok,0.052,0.052,0.052,0,0.052,3/23/2021 19:00,BTC-25JUN21-44000-P,P
0,1616630400,ok,0.052,0.052,0.052,0,0.052,3/24/2021 19:00,BTC-25JUN21-44000-P,P
0,1616716800,ok,0.052,0.052,0.052,0,0.052,3/25/2021 19:00,BTC-25JUN21-44000-P,P
0,1616803200,ok,0.052,0.052,0.052,0,0.052,3/26/2021 19:00,BTC-25JUN21-44000-P,P
0,1616889600,ok,0.052,0.052,0.052,0,0.052,3/27/2021 19:00,BTC-25JUN21-44000-P,P
0.4,1616976000,ok,0.0785,0.0785,0.0785,0.0314,0.0785,3/28/2021 19:00,BTC-25JUN21-44000-P,P
7.2,1617062400,ok,0.0555,0.0555,0.076,0.4782,0.07,3/29/2021 19:00,BTC-25JUN21-44000-P,P
3.5,1617148800,ok,0.0355,0.035,0.061,0.157,0.036,3/30/2021 19:00,BTC-25JUN21-44000-P,P
48.8,1617235200,ok,0.055,0.055,0.0875,3.1785,0.087,3/31/2021 19:00,BTC-25JUN21-44000-P,P
34,1617321600,ok,0.085,0.0635,0.096,2.713,0.0635,4/1/2021 19:00,BTC-25JUN21-44000-P,P
0,1617408000,ok,0.0635,0.0635,0.0635,0,0.0635,4/2/2021 19:00,BTC-25JUN21-44000-P,P
